weight,total_gain,total_cover,gain,cover,feature
1740.0,41108400.0,70677.984375,23625.517578125,40.619529724121094,FirstVisitAge
466.0,6331249.5,79223.75,13586.3720703125,170.00804138183594,Gender
847.0,10181383.0,68703.4765625,12020.5234375,81.11390686035156,Hematocrit_Avg
1878.0,30095578.0,67634.015625,16025.333984375,36.013851165771484,LymphocytesPercentage_Avg
997.0,12568205.0,89777.1484375,12606.0234375,90.04728698730469,FirstVisitAge_div_NeutrophilsPercentage_Max
637.0,7842496.5,47421.36328125,12311.611328125,74.44483947753906,EosinophilsPercentage_Avg_div_WhiteBloodCellCount_Max
839.0,29623720.0,166110.25,35308.3671875,197.98599243164062,EosinophilsPercentage_Avg_div_CReactiveProtein_Min
537.0,10829494.0,66737.125,20166.65625,124.27770233154297,MeanCorpuscularHemoglobinConcentration_Avg
488.0,10544371.0,37494.14453125,21607.318359375,76.83226013183594,MonocytesPercentage_Avg
583.0,12235862.0,51345.2734375,20987.755859375,88.07079315185547,MeanPlateletVolume_Avg
878.0,33679820.0,76263.1015625,38359.703125,86.86002349853516,FirstVisitAge_div_MeanCorpuscularHemoglobin_Max
665.0,42770420.0,178166.671875,64316.421875,267.9197998046875,TotalThyroxine_Avg
651.0,31380288.0,62865.98828125,48203.20703125,96.5683364868164,MeanCorpuscularHemoglobin_Avg
447.0,43219480.0,96876.6171875,96687.875,216.72621154785156,EosinophilsPercentage_Avg_div_LymphocytesPercentage_Max
317.0,10762945.0,76164.3203125,33952.5078125,240.2659912109375,ThyroidStimulatingHormone_Avg
582.0,53057868.0,66299.203125,91164.71875,113.91615295410156,BasophilsPercentage_Avg_div_LymphocytesPercentage_Max
445.0,14624830.0,78927.6484375,32864.78515625,177.36550903320312,ImmunoglobulinE_Avg
303.0,7791627.5,55012.12890625,25714.94140625,181.5581817626953,WhiteBloodCellCount_Max_div_EosinophilsPercentage_Max
277.0,13705090.0,40339.67578125,49476.859375,145.63059997558594,EosinophilsPercentage_Avg_div_FirstVisitAge
383.0,17910560.0,42470.83203125,46763.86328125,110.88990020751953,RedCellDistributionWidthCV_Avg
108.0,14701741.0,93827.8828125,136127.234375,868.7766723632812,EggWhite_Avg
230.0,5076818.0,31846.5390625,22073.12109375,138.4632110595703,AbsoluteNeutrophilCount_Max_div_MeanCorpuscularHemoglobin_Max
64.0,8445036.0,44717.19140625,131953.6875,698.7061157226562,DogDander_Avg
333.0,18801774.0,51117.76171875,56461.78515625,153.5067901611328,Hematocrit_Max
306.0,6708673.0,41015.875,21923.767578125,134.03880310058594,FirstVisitAge_div_BasophilsPercentage_Avg
310.0,19473800.0,39003.92578125,62818.7109375,125.8191146850586,LymphocytesPercentage_Max
235.0,2680397.75,49587.28515625,11405.9482421875,211.0097198486328,Hematocrit_Min
421.0,15324068.0,59649.30859375,36399.2109375,141.684814453125,AbsoluteNeutrophilCount_Max_div_NeutrophilsPercentage_Max
192.0,8375590.0,31275.939453125,43622.86328125,162.89552307128906,FirstVisitAge_div_LymphocytesPercentage_Max
233.0,24813968.0,54862.640625,106497.71875,235.46197509765625,WhiteBloodCellCount_Max_div_BasophilsPercentage_Avg
352.0,19432002.0,45696.171875,55204.55078125,129.81866455078125,MeanCorpuscularVolume_Max
228.0,6443445.5,30605.90234375,28260.7265625,134.23641967773438,MonocytesPercentage_Max
127.0,2891276.5,27281.06640625,22765.95703125,214.81155395507812,WhiteBloodCellCount_Max_div_FirstVisitAge
223.0,21034076.0,27812.556640625,94323.2109375,124.71998596191406,WhiteBloodCellCount_Max_div_CReactiveProtein_Min
172.0,10743202.0,28548.322265625,62460.4765625,165.97862243652344,MeanPlateletVolume_Min
215.0,18831302.0,35158.37890625,87587.453125,163.52734375,FirstVisitAge_div_PlateletCount_Max
220.0,4784651.5,34722.87890625,21748.416015625,157.83126831054688,EosinophilsPercentage_Avg_div_BasophilsPercentage_Avg
148.0,6508457.0,49376.45703125,43976.0625,333.62469482421875,MeanCorpuscularHemoglobinConcentration_Min
205.0,12639113.0,27639.9765625,61654.2109375,134.8291473388672,MeanCorpuscularVolume_Avg
259.0,9689355.0,30421.4375,37410.63671875,117.45729064941406,PlateletCount_Avg_div_NeutrophilsPercentage_Max
173.0,21134904.0,29823.0234375,122167.078125,172.38742065429688,FirstVisitAge_div_EosinophilsPercentage_Max
259.0,82516056.0,192486.859375,318594.8125,743.1925048828125,EosinophilsPercentage_Avg_div_CReactiveProtein_Avg
157.0,22713082.0,37549.76953125,144669.3125,239.17050170898438,FirstVisitAge_div_PlateletCount_Min
145.0,7842831.5,22785.25390625,54088.4921875,157.13967895507812,LymphocytesPercentage_Min
230.0,4080099.0,20004.98828125,17739.560546875,86.97821044921875,PlateletCount_Avg
200.0,8032040.0,46460.82421875,40160.19921875,232.3041229248047,FirstVisitAge_div_AbsoluteNeutrophilCount_Max
218.0,8887930.0,20567.986328125,40770.3203125,94.34856414794922,WhiteBloodCellCount_Max_div_PlateletCount_Avg
116.0,6807898.5,11428.3408203125,58688.78125,98.52017974853516,CReactiveProtein_Min_div_AbsoluteNeutrophilCount_Max
278.0,25011850.0,48232.20703125,89970.6796875,173.4971466064453,MeanPlateletVolume_Max
233.0,7291953.5,33945.85546875,31295.9375,145.69036865234375,FirstVisitAge_div_CReactiveProtein_Min
128.0,6861311.5,39203.3671875,53603.99609375,306.27630615234375,RyeGrass_Avg
153.0,27955044.0,40129.64453125,182712.703125,262.2852478027344,WhiteBloodCellCount_Max_div_MeanCorpuscularHemoglobin_Max
44.0,2345504.75,35378.31640625,53306.92578125,804.0526733398438,ProthrombinTime_Avg
161.0,8126184.5,34939.62109375,50473.1953125,217.0162811279297,FirstVisitAge_div_PlateletCount_Avg
186.0,12497207.0,34228.265625,67189.28125,184.02293395996094,AbsoluteNeutrophilCount_Max_div_PlateletCount_Max
149.0,20793390.0,90411.0234375,139552.953125,606.785400390625,EosinophilsPercentage_Max_div_LymphocytesPercentage_Max
166.0,18947544.0,29489.884765625,114141.828125,177.64990234375,Total25HydroxyVitaminD_Avg
137.0,3841074.25,31297.068359375,28037.0390625,228.4457550048828,RedBloodCellCount_Avg
151.0,10148818.0,20366.9375,67210.71875,134.88038635253906,MeanCorpuscularHemoglobin_Max_div_NeutrophilsPercentage_Max
192.0,11124424.0,30334.326171875,57939.70703125,157.9912872314453,PlateletDistributionWidth_Avg
